outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,129.019,-0.0002743,25.0048,74.9812,-2.56551e-05,0.000659638,-0.00224121
0,1,130.019,-0.000299407,25.0054,74.979,-2.45497e-05,0.000663842,-0.0023404
0,1,131.019,-0.000323403,25.0061,74.9766,-2.34331e-05,0.00066784,-0.00243934
0,1,132.019,-0.000346276,25.0068,74.9741,-2.23058e-05,0.000671631,-0.00253802
0,1,133.019,-0.000368017,25.0074,74.9715,-2.11681e-05,0.000675217,-0.00263646
0,1,134.019,-0.000388615,25.0081,74.9688,-2.00205e-05,0.000678598,-0.00273466
0,1,135.02,-0.00040806,25.0088,74.966,-1.88634e-05,0.000681774,-0.00283263
0,1,136.02,-0.000426344,25.0095,74.9631,-1.76971e-05,0.000684747,-0.00293037
0,1,137.02,-0.000443456,25.0102,74.9602,-1.6522e-05,0.000687517,-0.0030279
0,1,138.02,-0.000459389,25.0109,74.9571,-1.53386e-05,0.000690086,-0.00312522
0,1,139.02,-0.000474135,25.0116,74.9539,-1.41471e-05,0.000692456,-0.00322233
0,1,140.02,-0.000487685,25.0122,74.9506,-1.29479e-05,0.000694629,-0.00331924
0,1,141.02,-0.000500031,25.0129,74.9473,-1.17414e-05,0.000696606,-0.00341595
0,1,142.021,-0.000511168,25.0136,74.9438,-1.05278e-05,0.000698389,-0.00351247
0,1,143.021,-0.000521087,25.0143,74.9402,-9.30757e-06,0.000699983,-0.0036088
0,1,144.021,-0.000529783,25.015,74.9366,-8.08091e-06,0.000701388,-0.00370495
0,1,145.021,-0.000537249,25.0157,74.9328,-6.84814e-06,0.00070261,-0.00380091
0,1,146.021,-0.000543479,25.0164,74.929,-5.60953e-06,0.000703649,-0.0038967
0,1,147.021,-0.000548467,25.0172,74.925,-4.36533e-06,0.000704512,-0.00399231
0,1,148.021,-0.000552208,25.0179,74.921,-3.11579e-06,0.0007052,-0.00408775
0,1,149.022,-0.000554697,25.0186,74.9169,-1.86111e-06,0.000705719,-0.00418301
0,1,150.022,-0.000555929,25.0193,74.9126,-6.01497e-07,0.000706073,-0.00427811
0,1,151.022,-0.000555898,25.02,74.9083,6.62865e-07,0.000706266,-0.00437304
0,1,152.022,-0.000554601,25.0207,74.9039,1.93182e-06,0.000706303,-0.0044678
0,1,153.022,-0.000552032,25.0214,74.8994,3.20524e-06,0.00070619,-0.00456239
0,1,154.022,-0.000548187,25.0221,74.8947,4.483e-06,0.000705932,-0.00465682
0,1,155.022,-0.000543062,25.0228,74.89,5.76502e-06,0.000705535,-0.00475107
0,1,156.023,-0.000536653,25.0235,74.8852,7.05125e-06,0.000705005,-0.00484516
0,1,157.023,-0.000528955,25.0242,74.8804,8.34164e-06,0.000704348,-0.00493909
0,1,158.023,-0.000519965,25.0249,74.8754,9.6362e-06,0.000703571,-0.00503284
0,1,159.023,-0.000509678,25.0256,74.8703,1.09349e-05,0.000702681,-0.00512642
0,1,160.023,-0.000498089,25.0263,74.8651,1.22379e-05,0.000701685,-0.00521982
0,1,161.023,-0.000485196,25.027,74.8598,1.35453e-05,0.000700591,-0.00531305
0,1,162.023,-0.000470992,25.0277,74.8545,1.48571e-05,0.000699407,-0.0054061
0,1,163.024,-0.000455475,25.0284,74.849,1.61735e-05,0.000698141,-0.00549897
0,1,164.024,-0.000438638,25.0291,74.8435,1.74948e-05,0.000696801,-0.00559166
0,1,165.024,-0.000420477,25.0298,74.8378,1.88211e-05,0.000695396,-0.00568415
0,1,166.024,-0.000400987,25.0305,74.8321,2.01528e-05,0.000693936,-0.00577645
0,1,167.024,-0.000380162,25.0312,74.8263,2.14901e-05,0.00069243,-0.00586855
0,1,168.024,-0.000357997,25.0319,74.8204,2.28335e-05,0.000690888,-0.00596045
0,1,169.025,-0.000334485,25.0326,74.8144,2.41834e-05,0.000689321,-0.00605214
0,1,170.025,-0.000309619,25.0333,74.8083,2.55403e-05,0.00068774,-0.00614361
0,1,171.025,-0.000283392,25.034,74.8021,2.69046e-05,0.000686154,-0.00623485
0,1,172.025,-0.000255797,25.0346,74.7958,2.82771e-05,0.000684577,-0.00632587
0,1,173.025,-0.000226825,25.0353,74.7894,2.96582e-05,0.000683021,-0.00641665
0,1,174.025,-0.000196467,25.036,74.783,3.10487e-05,0.000681496,-0.00650718
0,1,175.025,-0.000164713,25.0367,74.7764,3.24494e-05,0.000680018,-0.00659746
