time,u0,u1,u2,phase
186,-3.96601e-05,3.87225e-05,-6.22251e-06,1
186.5,-4.01395e-05,3.91121e-05,-5.96983e-06,1
187,-4.06203e-05,3.95018e-05,-5.70729e-06,1
187.5,-4.11025e-05,3.98915e-05,-5.43494e-06,1
188,-4.15862e-05,4.02811e-05,-5.15285e-06,1
188.5,-4.20714e-05,4.06707e-05,-4.86109e-06,1
189,-4.25582e-05,4.10601e-05,-4.55972e-06,1
189.5,-4.30465e-05,4.14495e-05,-4.24883e-06,1
190,-4.35363e-05,4.18386e-05,-3.92849e-06,1
190.5,-4.40278e-05,4.22275e-05,-3.59878e-06,1
191,-4.45209e-05,4.26162e-05,-3.2598e-06,1
191.5,-4.50156e-05,4.30046e-05,-2.91165e-06,1
192,-4.55118e-05,4.33926e-05,-2.55441e-06,1
192.5,-4.60097e-05,4.37803e-05,-2.1882e-06,1
193,-4.65091e-05,4.41675e-05,-1.81311e-06,1
193.5,-4.701e-05,4.45542e-05,-1.42926e-06,1
194,-4.75125e-05,4.49404e-05,-1.03676e-06,1
194.5,-4.80164e-05,4.53261e-05,-6.35738e-07,1
195,-4.85218e-05,4.57111e-05,-2.26302e-07,1
195.5,-4.90286e-05,4.60955e-05,1.91417e-07,1
196,-4.95368e-05,4.64792e-05,6.17293e-07,1
196.5,-5.00462e-05,4.68621e-05,1.05119e-06,1
197,-5.05569e-05,4.72442e-05,1.49299e-06,1
197.5,-5.10687e-05,4.76254e-05,1.94253e-06,1
198,-5.15816e-05,4.80057e-05,2.3997e-06,1
198.5,-5.20955e-05,4.8385e-05,2.86433e-06,1
199,-5.26102e-05,4.87633e-05,3.3363e-06,1
199.5,-5.31258e-05,4.91405e-05,3.81545e-06,1
200,-5.36421e-05,4.95165e-05,4.30163e-06,1
200.5,-5.41589e-05,4.98914e-05,4.79469e-06,1
201,-5.46762e-05,5.0265e-05,5.29448e-06,1
201.5,-5.51938e-05,5.06372e-05,5.80086e-06,1
202,-5.57117e-05,5.10081e-05,6.31365e-06,1
202.5,-5.62295e-05,5.13776e-05,6.83271e-06,1
203,-5.67472e-05,5.17456e-05,7.35787e-06,1
203.5,-5.72647e-05,5.2112e-05,7.88898e-06,1
204,-5.77817e-05,5.24768e-05,8.42589e-06,1
204.5,-5.82982e-05,5.28399e-05,8.96842e-06,1
205,-5.88138e-05,5.32013e-05,9.51642e-06,1
205.5,-5.93284e-05,5.35609e-05,1.00697e-05,1
206,-5.98418e-05,5.39187e-05,1.06282e-05,1
206.5,-6.03538e-05,5.42745e-05,1.11916e-05,1
207,-6.08642e-05,5.46283e-05,1.17599e-05,1
207.5,-6.13727e-05,5.49801e-05,1.23328e-05,1
208,-6.18791e-05,5.53298e-05,1.29103e-05,1
208.5,-6.23831e-05,5.56773e-05,1.34921e-05,1
209,-6.28845e-05,5.60226e-05,1.40781e-05,1
209.5,-6.33831e-05,5.63656e-05,1.46681e-05,1
210,-6.38785e-05,5.67063e-05,1.5262e-05,1
210.5,-6.43705e-05,5.70446e-05,1.58596e-05,1
211,-6.48588e-05,5.73804e-05,1.64609e-05,1
211.5,-6.5343e-05,5.77136e-05,1.70655e-05,1
212,-6.58228e-05,5.80443e-05,1.76734e-05,1
212.5,-6.6298e-05,5.83724e-05,1.82844e-05,1
213,-6.67682e-05,5.86977e-05,1.88985e-05,1
213.5,-6.72331e-05,5.90204e-05,1.95153e-05,1
214,-6.76922e-05,5.93402e-05,2.01349e-05,1
214.5,-6.81452e-05,5.96571e-05,2.0757e-05,1
215,-6.85919e-05,5.99712e-05,2.13816e-05,1
215.5,-6.90316e-05,6.02823e-05,2.20085e-05,1
216,-6.94642e-05,6.05904e-05,2.26375e-05,1
216.5,-6.98892e-05,6.08955e-05,2.32686e-05,1
217,-7.03061e-05,6.11975e-05,2.39016e-05,1
217.5,-7.07145e-05,6.14963e-05,2.45364e-05,1
218,-7.11141e-05,6.1792e-05,2.51728e-05,1
218.5,-7.15043e-05,6.20845e-05,2.58109e-05,1
219,-7.18848e-05,6.23737e-05,2.64504e-05,1
219.5,-7.2255e-05,6.26597e-05,2.70912e-05,1
220,-7.26145e-05,6.29424e-05,2.77333e-05,1
220.5,-7.29627e-05,6.32217e-05,2.83766e-05,1
221,-7.32993e-05,6.34977e-05,2.90209e-05,1
221.5,-7.36237e-05,6.37704e-05,2.96661e-05,1
222,-7.39355e-05,6.40396e-05,3.03122e-05,1
222.5,-7.4234e-05,6.43055e-05,3.09591e-05,1
223,-7.45187e-05,6.4568e-05,3.16066e-05,1
223.5,-7.47893e-05,6.4827e-05,3.22548e-05,1
224,-7.5045e-05,6.50827e-05,3.29035e-05,1
224.5,-7.52853e-05,6.53349e-05,3.35526e-05,1
225,-7.55098e-05,6.55838e-05,3.42022e-05,1
225.5,-7.57178e-05,6.58292e-05,3.4852e-05,1
226,-7.59088e-05,6.60713e-05,3.55021e-05,1
226.5,-7.60821e-05,6.631e-05,3.61524e-05,1
227,-7.62373e-05,6.65455e-05,3.68028e-05,1
227.5,-7.63738e-05,6.67776e-05,3.74533e-05,1
228,-7.64908e-05,6.70065e-05,3.81038e-05,1
228.5,-7.65879e-05,6.72321e-05,3.87542e-05,1
229,-7.66645e-05,6.74546e-05,3.94046e-05,1
229.5,-7.672e-05,6.7674e-05,4.00548e-05,1
230,-7.67537e-05,6.78904e-05,4.07048e-05,1
230.5,-7.67651e-05,6.81037e-05,4.13545e-05,1
231,-7.67535e-05,6.83142e-05,4.2004e-05,1
231.5,-7.67185e-05,6.85218e-05,4.26532e-05,1
232,-7.66592e-05,6.87267e-05,4.33019e-05,1
